CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
1,0,19,15,39,3,-0.8281972012837318,-1.5032759125801338
2,0,21,15,81,0,-1.6972189805502962,-1.2426555160078805
3,1,20,16,6,3,0.006139646949584515,-1.5946202955298445
4,1,23,16,77,0,-1.482648550395732,-1.1532972064832596
5,1,31,17,40,3,-0.19318983018713895,-1.283628529232458
6,1,22,17,76,0,-1.4929035610164514,-1.0391314147643251
7,1,35,18,6,3,0.8196585767100933,-1.3871822708294312
8,1,23,18,94,0,-1.8395707066230083,-0.8092236472642276
9,0,64,19,3,4,2.409263624283063,-1.3447175713949129
10,1,30,19,72,0,-0.9492509747857494,-0.8430989444526291
11,0,67,19,14,4,2.3098918902787737,-1.2813381887598674
12,1,35,19,99,0,-1.3155640206088244,-0.6828747713569973
13,1,58,20,15,4,1.8390440172580673,-1.1388134818305842
14,1,24,20,77,0,-1.3573719944209586,-0.6812882873029799
15,0,37,20,13,3,0.7978755761118097,-1.11003952726148
16,0,22,20,79,0,-1.5072556216044808,-0.6647499658401043
17,1,35,21,35,3,0.20322604867428573,-0.8490252157935432
18,0,20,21,66,0,-1.2914122120930724,-0.6242028164455654
19,0,52,23,29,4,1.2592563698410522,-0.683321759650108
20,1,35,23,98,0,-1.2189153961144445,-0.2151948149923309
21,0,35,24,35,3,0.2583448112533079,-0.4935409521898993
22,0,25,24,73,0,-1.1394676742234497,-0.23447561521680269
23,1,46,25,5,4,1.5410595616803466,-0.5856891393981548
24,0,31,25,73,0,-0.8103855181473115,-0.1278014544297277
25,1,54,28,14,4,1.8020448350468339,-0.18927411149607726
26,0,29,28,82,0,-1.0672489701415981,0.28831456305147146
27,1,45,28,32,1,0.9191560432198292,-0.058160108951405956
28,0,35,28,61,0,-0.2702439727557744,0.14421367205995975
29,1,40,29,31,1,0.7017615424548,0.06388607859917725
30,1,23,29,87,0,-1.4753699897768073,0.4501252202011207
31,0,60,30,4,4,2.381069322539484,-0.027095813909710872
32,1,21,30,73,2,-1.2363696392097152,0.4843733078221339
33,0,53,33,4,1,2.073693977365964,0.34217914239931824
34,0,18,33,92,2,-1.7765873742969172,0.9654500419965019
35,1,49,33,14,1,1.6349850766648173,0.41305015596622346
36,1,21,33,81,2,-1.3665064050761635,0.8902500656139831
37,1,42,34,17,1,1.2213930666048982,0.5642327885267335
38,1,30,34,73,2,-0.6968141029463225,0.9406214353391164
39,1,36,37,26,1,0.7573901244663017,0.9882292018395814
40,1,20,37,75,2,-1.2058579478394418,1.3284048120689333
41,1,65,38,35,1,2.069111879371066,1.1062826425564076
42,0,24,38,92,2,-1.3740135347820825,1.5461032209217687
43,0,48,39,36,1,1.1839850260617408,1.2645681411489877
44,1,31,39,61,2,-0.2752813334436695,1.455536367771636
45,1,49,39,28,1,1.4210254270432885,1.2122055480028704
46,1,24,39,65,2,-0.7304032054189465,1.494523307571124
47,1,50,40,55,1,0.8659458119355776,1.498804871464699
48,1,27,40,47,2,-0.1398507279487321,1.4937246533084736
49,1,29,40,42,2,0.07950372240184156,1.4582891465250212
50,1,31,40,42,2,0.18307346747399636,1.4543489486091967
